UID        PID  PPID  C STIME TTY          TIME CMD
guak      1750  1308  0 Feb23 ?        00:00:01 i3
guak      1808  1750  0 Feb23 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-session /usr/bin/im-launch i3
guak      1811     1  0 Feb23 ?        00:00:00 /usr/bin/dbus-launch --exit-with-session /usr/bin/im-launch i3
guak      1812     1  0 Feb23 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
guak      1822     1  0 Feb23 ?        00:00:00 /bin/sh -c i3bar --bar_id=bar-0 --socket="/run/user/1000/i3/ipc-socket.1750"
guak      1823  1822  0 Feb23 ?        00:00:04 i3bar --bar_id=bar-0 --socket=/run/user/1000/i3/ipc-socket.1750
guak      1824  1823  0 Feb23 ?        00:00:00 /bin/sh -c i3status
guak      1825  1824  0 Feb23 ?        00:00:04 i3status
nobody    1841   923  0 Feb23 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
guak      2003     1  0 Feb23 ?        00:00:24 /usr/lib/gnome-terminal/gnome-terminal-server
guak      2007     1  0 Feb23 ?        00:00:00 /usr/lib/gvfs/gvfsd
guak      2012     1  0 Feb23 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
guak      2022  2003  0 Feb23 pts/0    00:00:00 bash
guak      2038     1  0 Feb23 ?        00:00:00 /bin/bash
guak      2041  2038  0 Feb23 ?        00:06:02 /usr/lib/firefox/firefox
guak      2076     1  0 Feb23 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
guak      2078     1  0 Feb23 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
guak      2121  2041  1 Feb23 ?        00:20:18 /usr/lib/firefox/plugin-container -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2041 true tab
guak      2219  2022  0 Feb23 pts/0    00:00:59 vim mysha256.perl
guak      2244  2003  0 Feb23 pts/1    00:00:00 bash
root      2417     1  0 Feb23 ?        00:00:02 /usr/sbin/cups-browsed
root      2814     2  0 Feb23 ?        00:00:00 [kworker/0:0]
root      3059     2  0 12:52 ?        00:00:00 [irq/31-mei_me]
root      3061     2  0 12:52 ?        00:00:00 [kworker/2:2]
root      3062     2  0 12:52 ?        00:00:00 [irq/19-mmc0]
root      3063     2  0 12:52 ?        00:00:00 [hci0]
root      3065     2  0 12:52 ?        00:00:00 [hci0]
root      3066     2  0 12:52 ?        00:00:00 [kworker/1:2]
root      3068     2  0 12:52 ?        00:00:00 [kworker/u17:1]
root      3200     2  0 12:52 ?        00:00:00 [kworker/3:1]
root      3277   923  0 12:52 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-wlp3s0.pid -lf /var/lib/NetworkManager/dhclient-9ad19e17-5913-4bc4-ba04-1de56660458d-wlp3s0.lease -cf /var/lib/NetworkManager/dhclient-wlp3s0.conf wlp3s0
avahi     3354     1  0 12:52 ?        00:00:00 avahi-daemon: running [guak-420s.local]
avahi     3362  3354  0 12:52 ?        00:00:00 avahi-daemon: chroot helper
root      3524     2  0 13:14 ?        00:00:00 [kworker/0:1]
root      3807     2  0 14:24 ?        00:00:01 [kworker/u16:0]
root      3852     2  0 14:29 ?        00:00:00 [kworker/3:2]
guak      3867  2003  0 14:35 pts/2    00:00:00 bash
root      4036     2  0 15:00 ?        00:00:00 [kworker/1:0]
root      4061     2  0 15:05 ?        00:00:00 [kworker/u16:3]
root      4120     2  0 15:14 ?        00:00:00 [kworker/u16:1]
guak      4190  3867  0 15:21 pts/2    00:00:00 ps -ef
